study_hours,revision_time,previous_grade,attendance_rate,understanding_level,sleep_hours,phone_time,stress_level,motivation_level,focus_level,pass_exam
6.0,2,94,58,2,6,1,1,1,3,1
3.0,3,71,52,7,7,1,9,8,7,1
,2,75,65,10,4,3,7,4,5,1
,3.0,89,74,7,6,3,1,1,2,1
,3,76,73,10,5,1,6,2,3,1
,2.0,87,96,9,8,3,7,6,5,1
,1,53,78,5,6,2,5,1,9,1
,3.0,66,93,10,6,3,5,9,6,1
,2,98,89,4,8,1,7,7,2,1
,0.0,58,75,10,6,5,3,8,8,0
,2.0,70,87,6,4,0,3,8,6,1
6,,85,84,2,4,5,1,6,6,0
2,3.0,48,72,2,4,5,8,8,8,0
2,2.0,77,53,9,6.0,5,2,7,7,1
7,,,,7,6.0,5,3,1,5,1
4,,,,7,6.0,0,7,3,9,1
3,,,,5,5,1,10,9,1,1
7,,,,7,8.0,1,10,8,4,1
7,,,,,,0,8,5,10,1
2,,,57,,8.0,4,9,1,9,1
5,,,91,,7.0,,8,2,2,0
4,0,61,100,9,,,,10,3,0
1,2,43,68,1,,,10,10,3,0
7,0,56,51,3,,5,1,9,6,1
3,0,47,96,,4.0,5,1,10,3,0
5,0,85,50,,5,0,8,8,3,0
5,2,98,91,,4,0,7,9,5,1
1,2,73,87,,6,4,2,2,3,0
7,0,50,62,,6,2,9,3,5,1
3,1,70,,,4,4,10,3,3,0
4,0,50,,9,5,2,7,1,2,0
0,1,95,,6,4,1,9,2,8,0
3,0,93,81,10,7,5,1,10,3,1
1,3,95,79,9,5,1,3,5,6,1
5,0,77,55,4,5,0,10,7,2,0
4,0,92,87,5,4,1,2,6,1,1
3,2,60,82,1,8,4,6,2,8,0
0,1,85,93,9,4,2,10,8,3,0
0,3,69,72,9,8,0,4,4,2,1
2,1,49,59,9,5,1,2,2,2,0
2,3,65,95,3,6,0,2,4,5,1
6,0,66,64,10,6,0,6,8,6,1
1,2,47,72,10,4,2,9,1,2,0
7,2,78,85,10,8,4,6,9,6,1
3,1,47,50,8,4,5,4,8,1,0
3,2,99,57,3,7,4,9,8,9,1
7,1,47,52,6,4,3,2,10,4,1
6,1,94,63,5,4,4,6,9,5,1
5,3,73,66,8,4,1,7,7,3,1
5,1,98,83,3,4,3,3,9,6,1
6,3,55,96,1,8,3,4,1,1,1
5,2,80,55,9,8,3,7,1,7,1
2,1,52,54,10,8,3,9,4,8,0
3,1,62,95,9,7,4,5,2,3,0
6,0,51,100,3,7,3,2,8,2,1
3,1,66,90,2,4,1,8,1,4,0
7,1,61,89,4,8,1,9,4,8,1
0,0,71,78,8,7,0,2,9,8,1
2,0,96,84,6,6,1,10,2,8,0
4,2,88,67,10,4,5,10,6,2,1
2,1,66,89,1,5,0,1,4,4,0
6,2,41,97,8,8,1,4,4,10,1
4,2,84,79,5,4,3,1,6,1,1
0,0,72,64,6,4,2,1,10,7,0
6,3,65,64,5,5,3,5,4,10,1
1,2,67,65,10,6,4,7,9,6,1
3,3,58,82,5,7,0,3,8,7,1
0,1,82,59,3,7,2,7,8,10,0
3,0,44,68,4,5,1,5,5,5,0
5,1,72,86,5,5,3,10,6,6,0
1,1,59,99,2,7,0,8,1,6,0
1,0,69,52,6,6,0,7,1,6,0
0,1,84,85,2,6,1,1,9,9,1
1,0,47,53,4,4,0,1,4,4,0
4,3,77,60,1,5,1,7,3,2,0
1,1,56,90,4,5,1,6,5,9,0
3,0,83,82,7,5,3,9,9,10,1
3,2,40,77,8,7,0,8,9,7,1
6,1,42,81,2,7,4,6,3,5,0
3,3,85,65,3,7,4,6,7,6,1
6,0,65,58,1,6,3,9,3,7,0
3,1,70,60,7,7,3,4,3,5,1
4,1,47,55,4,4,1,9,4,5,0
7,1,82,98,10,7,4,8,2,6,1
6,3,98,76,8,6,0,3,6,8,1
2,0,85,61,5,5,4,4,5,2,0
5,2,47,71,9,4,3,7,10,10,1
0,2,74,89,6,6,3,3,10,9,1
3,2,78,97,10,8,1,3,2,10,1
1,0,67,86,2,5,0,8,10,5,0
7,2,90,70,1,7,3,5,2,4,1
3,3,43,82,1,6,5,5,2,8,0
1,0,96,66,9,8,0,8,4,4,1
5,1,55,78,1,6,4,6,3,2,0
5,3,52,89,3,7,1,5,9,5,1
5,1,59,59,2,6,4,1,5,5,0
1,2,90,67,4,8,5,5,1,4,0
3,3,44,96,1,6,3,8,2,3,0
5,0,94,62,1,4,3,9,7,5,0
4,3,76,76,4,4,0,6,8,9,1
6,1,59,59,4,7,3,10,6,9,1
1,0,63,81,7,8,5,3,7,9,0
1,3,75,90,8,8,0,8,2,6,1
3,3,73,94,8,8,5,5,6,8,1
1,3,97,52,8,8,2,2,6,1,1
1,3,84,71,9,8,3,1,4,1,1
5,0,87,76,1,5,4,8,4,7,0
3,1,93,52,9,6,4,2,2,5,1
5,3,73,82,10,8,0,3,3,2,1
6,0,58,51,8,4,5,9,10,4,0
7,1,56,60,1,6,5,1,6,4,0
6,3,44,95,7,7,5,8,4,6,1
7,1,64,59,9,7,5,2,3,8,1
5,1,57,88,4,8,2,8,1,3,0
6,0,99,82,9,5,3,2,3,7,1
3,1,94,56,1,5,5,7,1,2,0
0,0,92,64,9,6,1,3,4,9,1
5,3,89,75,6,5,1,4,4,7,1
7,1,47,60,4,7,4,1,1,1,0
4,1,66,87,5,8,3,10,7,4,0
7,2,54,76,7,4,1,1,5,2,1
4,3,84,88,10,7,0,10,1,10,1
1,3,52,56,4,7,3,8,5,5,0
6,2,55,50,8,6,4,8,7,9,1
4,2,61,59,3,5,2,2,6,3,1
7,0,59,70,2,4,0,4,10,5,1
1,0,52,64,1,4,0,2,5,10,0
0,1,59,79,6,5,5,8,8,2,0
3,1,41,79,2,8,3,7,9,4,0
3,1,74,57,8,5,2,7,1,2,0
3,1,86,73,10,8,0,10,6,8,1
4,0,94,68,4,4,2,3,2,7,0
0,3,58,52,9,6,4,5,8,7,1
4,1,84,64,4,7,0,1,5,7,1
6,3,76,85,4,4,1,10,1,9,1
4,1,97,55,8,4,4,4,5,2,1
0,2,93,91,8,4,4,4,10,6,1
0,1,45,99,5,7,5,1,5,4,0
6,1,53,97,3,8,0,7,2,10,1
0,1,43,67,2,6,1,5,4,6,0
7,0,61,87,9,6,2,1,6,9,1
0,2,90,68,9,6,1,5,1,1,1
3,1,94,98,5,8,4,8,9,2,1
7,1,78,99,8,5,0,10,7,6,1
7,3,75,79,7,5,1,8,6,7,1
6,2,73,62,3,6,1,2,1,3,1
2,1,66,88,5,4,4,1,8,1,0
2,3,46,61,9,4,2,2,8,7,1
0,3,42,83,4,7,1,6,4,2,0
7,0,86,61,3,5,5,5,4,6,0
2,3,72,93,7,4,1,4,1,4,1
2,1,41,73,8,6,3,8,9,10,1
0,0,81,53,5,7,4,5,8,4,0
2,0,55,85,8,5,3,4,10,9,1
4,1,64,99,5,7,4,8,7,7,1
1,2,99,97,9,4,4,1,2,1,1
6,3,54,63,7,6,3,9,7,4,1
1,0,63,66,5,6,2,2,4,10,0
0,2,54,98,9,6,2,8,3,6,1
3,1,70,52,5,4,4,9,10,2,0
6,3,53,87,8,8,3,10,4,4,1
0,3,93,72,4,6,1,8,10,2,1
7,0,53,62,9,8,4,9,6,1,0
3,3,45,58,6,6,5,4,7,1,1
1,3,53,70,6,8,4,2,2,9,1
0,3,56,90,3,5,0,3,7,9,1
7,3,57,57,3,5,2,8,10,4,1
6,1,59,66,4,6,3,5,2,8,1
6,2,90,65,1,7,1,4,2,10,1
5,1,56,65,6,7,5,3,1,7,0
7,1,55,77,1,4,1,3,7,5,1
4,0,79,100,4,5,5,10,1,10,0
2,3,78,65,7,5,4,10,3,2,0
3,1,91,95,6,7,1,7,8,9,1
7,3,71,95,8,6,1,8,1,7,1
5,1,99,63,4,4,4,5,6,4,0
2,1,83,95,9,5,2,8,2,10,1
2,0,48,93,10,4,0,9,9,2,0
0,2,66,87,8,5,2,4,2,2,0
2,2,85,69,5,8,2,2,6,3,1
4,1,91,94,6,8,0,5,4,6,1
6,0,72,97,5,4,4,2,9,1,1
5,3,49,90,6,7,2,10,1,5,1
2,3,56,83,1,7,3,2,1,10,1
0,1,88,78,4,5,3,6,10,3,0
4,2,88,52,9,8,0,10,3,7,1
1,0,75,59,4,8,3,10,6,7,0
6,2,56,69,2,4,4,1,3,10,1
6,3,57,51,6,4,1,2,7,5,1
5,2,91,76,2,7,4,5,9,9,1
6,3,62,81,3,7,0,10,10,10,1
2,0,73,59,7,7,1,5,2,8,0
0,0,47,89,4,6,3,10,4,9,0
6,1,52,66,1,8,2,3,3,6,1
6,1,62,82,9,8,3,5,6,8,1
1,2,96,55,6,4,4,9,5,10,0
1,0,93,88,9,8,4,2,3,2,0
3,0,59,96,3,4,0,6,9,5,0
4,1,61,67,5,6,2,8,8,8,1
2,3,86,58,9,7,2,3,3,2,1
6,2,91,57,6,6,1,2,10,2,1
7,2,62,74,2,7,1,1,5,3,1
6,1,80,80,1,7,4,1,5,2,1
0,0,74,91,9,4,0,4,5,4,0
3,1,42,53,1,7,4,6,8,4,0
4,1,73,69,5,6,5,7,3,1,0
7,1,72,77,1,5,2,8,3,6,0
3,1,85,89,5,4,2,8,8,7,1
5,3,56,50,5,7,4,10,9,7,1
4,3,84,89,7,7,2,1,5,5,1
6,0,58,93,7,8,1,8,10,4,1
6,1,69,72,10,4,2,10,8,2,1
4,3,62,96,1,4,1,1,5,5,1
6,0,54,62,9,6,3,3,4,4,1
2,1,98,65,1,5,0,5,2,8,0
4,2,96,75,5,6,0,10,4,10,1
3,3,53,80,7,6,2,10,2,1,1
4,0,41,99,8,6,0,8,7,7,1
7,2,78,50,2,5,5,8,7,5,0
6,1,88,66,1,6,3,6,9,10,1
2,1,57,65,4,4,2,4,4,5,0
2,1,45,86,4,5,1,4,5,1,0
5,3,98,59,10,7,3,8,4,9,1
3,0,71,87,6,8,5,3,4,7,0
1,2,60,93,1,8,3,8,5,2,0
1,0,79,80,1,4,0,4,3,5,0
4,3,67,59,3,8,5,10,9,8,1
5,0,66,98,5,8,1,9,7,7,1
0,3,41,83,6,8,4,2,1,2,0
4,1,72,100,5,7,3,10,1,7,0
5,2,55,55,5,8,0,1,1,6,1
3,1,78,77,9,6,3,4,3,8,1
3,0,61,77,2,4,1,9,9,9,0
3,1,95,62,1,4,1,7,8,7,0
3,2,82,90,6,4,2,9,9,8,1
3,1,86,61,9,7,4,9,5,10,1
5,2,52,99,7,7,4,10,7,7,1
5,2,95,89,8,8,0,9,10,7,1
2,1,41,99,5,6,4,9,9,1,0
7,3,53,51,10,8,1,7,5,5,1
1,0,95,57,4,4,4,8,8,10,0
6,3,77,91,6,6,0,2,8,5,1
3,3,80,58,3,4,3,9,3,4,0
0,1,67,99,1,6,4,2,5,1,0
6,0,46,57,4,5,4,8,8,7,0
5,0,57,100,9,7,1,2,10,8,1
0,3,95,52,4,7,1,8,3,5,1
0,1,80,58,1,4,3,3,3,4,0
0,0,94,62,4,4,5,2,6,9,0
2,3,75,58,7,5,5,6,7,3,0
5,0,80,80,3,8,2,6,7,3,1
0,1,75,74,10,6,4,1,6,4,1
3,1,83,93,6,5,1,7,7,7,1
4,1,43,94,1,5,2,1,7,2,0
0,0,96,57,4,4,4,4,4,8,0
2,2,69,96,3,4,4,6,8,2,0
6,0,63,80,1,8,2,8,8,4,0
5,2,59,94,3,8,1,8,2,2,1
7,1,85,94,4,4,3,10,10,9,1
2,3,95,80,5,7,5,7,5,4,1
0,2,70,66,6,8,4,5,2,5,0
5,1,63,96,2,5,0,6,3,9,1
4,1,46,68,2,4,0,8,3,2,0
0,2,65,52,6,6,0,3,5,4,1
2,3,52,95,5,6,3,6,8,6,1
1,1,93,79,1,7,5,4,3,1,0
3,2,47,59,3,4,4,3,7,1,0
7,3,94,98,5,5,1,3,5,7,1
6,3,44,78,2,7,1,4,10,6,1
2,1,83,89,1,5,5,6,10,4,0
5,0,52,67,9,6,3,1,10,5,1
7,0,68,61,5,5,5,2,4,5,0
7,1,59,98,2,6,4,4,2,9,1
7,3,53,72,10,8,2,10,6,5,1
0,1,71,60,4,6,2,9,4,2,0
3,2,99,58,3,6,4,8,4,7,1
0,0,89,73,7,7,4,10,5,10,0
5,2,66,74,1,7,1,8,9,9,1
0,1,95,74,10,4,3,7,1,7,0
1,1,64,96,4,4,3,6,5,8,0
3,3,91,58,7,6,5,7,5,10,1
3,3,43,61,10,8,1,6,2,3,1
5,3,60,60,5,4,0,3,3,9,1
6,2,57,98,4,6,2,6,4,7,1
1,3,78,87,4,7,4,7,1,10,1
2,1,54,77,2,4,5,6,10,4,0
0,3,92,57,8,4,2,2,3,10,1
4,0,77,59,4,6,2,6,1,7,0
0,3,87,74,2,6,5,2,1,3,0
7,2,91,96,9,5,3,1,9,10,1
0,0,63,85,10,5,1,10,4,7,0
2,0,47,99,7,8,0,10,4,3,0
0,0,67,92,3,4,0,10,4,2,0
1,2,60,58,7,5,5,5,9,1,0
1,1,55,90,1,6,5,4,8,6,0
3,3,99,57,1,4,1,9,4,3,1
5,0,93,52,4,5,2,9,6,10,0
6,0,55,67,4,8,1,9,2,2,0
4,0,74,95,4,8,1,3,6,3,1
7,1,56,84,9,8,4,10,1,8,1
0,1,48,66,6,8,4,3,5,3,0
0,2,96,85,3,6,2,3,8,4,1
2,1,74,77,6,8,3,10,1,2,0
5,3,91,99,2,7,0,5,2,8,1
1,2,68,64,2,8,4,6,3,6,0
4,2,78,68,7,5,2,6,7,9,1
3,3,57,71,3,4,5,3,8,8,1
1,3,51,55,7,5,1,2,4,4,1
7,3,58,96,3,4,4,6,8,8,1
5,2,87,56,2,6,1,4,1,1,1
7,2,61,93,4,4,1,9,3,9,1
6,2,98,97,4,7,4,2,4,5,1
3,3,95,58,3,8,2,4,5,4,1
6,3,88,69,9,5,5,2,9,5,1
2,0,91,86,6,4,0,5,2,1,0
7,1,54,60,5,5,2,3,7,2,1
2,0,40,51,6,8,3,4,3,2,0
0,3,41,71,8,6,3,9,10,9,1
6,2,47,97,5,8,0,10,2,6,1
5,3,61,85,4,6,5,5,9,3,1
7,1,64,54,7,5,3,9,3,4,0
4,0,41,56,5,6,1,5,8,1,0
3,0,90,55,4,6,3,10,1,7,0
1,2,48,71,5,6,4,9,5,7,0
5,0,48,59,4,6,1,8,5,8,0
5,0,52,95,8,6,2,1,6,1,1
2,3,45,89,8,4,5,3,7,9,1
6,0,69,95,1,6,0,5,3,2,1
7,0,54,95,3,6,4,3,5,1,0
7,0,90,69,4,8,4,10,8,1,0
0,2,92,77,2,8,0,1,6,8,1
0,2,54,72,5,8,3,2,2,3,0
3,3,89,84,8,6,0,2,7,6,1
2,0,46,50,2,8,0,4,3,6,0
5,2,97,78,9,4,3,6,10,2,1
7,2,50,58,7,5,2,2,9,2,1
4,3,79,58,6,8,5,6,4,1,1
2,1,77,71,8,8,0,1,4,9,1
3,0,79,51,2,4,3,8,4,1,0
3,2,41,65,5,7,4,3,10,6,1
2,3,90,89,4,7,0,8,10,9,1
3,3,87,55,8,4,5,3,8,6,1
2,3,78,62,1,8,0,1,1,6,1
1,2,49,82,3,5,2,4,3,4,0
2,0,83,68,10,8,2,3,8,5,1
6,1,56,64,8,4,4,8,7,1,0
2,0,46,82,5,4,2,1,6,3,0
3,3,93,59,4,6,5,9,7,6,1
7,3,79,50,6,4,4,9,1,2,1
6,1,78,61,5,6,0,6,8,1,1
3,0,43,92,3,4,3,5,4,1,0
0,3,74,78,5,6,2,5,1,1,0
0,3,90,66,4,6,4,6,4,10,1
7,0,86,53,1,8,2,7,2,10,1
7,3,75,78,1,6,2,8,5,1,1
6,0,70,56,7,7,1,3,1,6,1
1,3,64,93,4,4,0,10,1,10,1
7,0,80,62,1,5,2,1,5,4,1
0,1,52,54,6,4,3,5,2,4,0
2,3,57,55,1,8,5,1,9,4,1
3,1,60,83,8,8,1,2,10,8,1
0,3,87,56,9,6,4,8,7,7,1
0,3,40,95,3,8,4,3,4,5,0
1,2,75,77,7,8,3,10,7,7,1
6,0,89,95,5,4,3,4,8,8,1
6,1,47,59,3,7,5,6,8,10,1
5,1,91,53,5,7,0,8,8,8,1
1,1,87,52,10,6,3,1,5,7,1
2,0,60,74,7,8,4,2,7,7,0
6,2,82,72,7,8,0,6,7,9,1
3,1,91,76,9,7,3,8,2,5,1
7,0,92,63,8,6,3,8,3,8,1
1,3,92,87,4,8,4,3,2,2,1
7,1,60,81,5,6,0,4,3,8,1
0,1,66,72,5,4,1,10,9,1,0
3,2,58,96,10,8,1,4,7,9,1
3,1,62,89,2,8,5,4,4,1,0
0,1,90,86,7,8,0,2,8,8,1
1,3,89,52,7,7,3,6,7,3,1
0,0,90,84,9,7,3,8,10,4,0
7,0,82,62,9,8,0,9,6,10,1
5,2,74,83,4,8,1,1,4,7,1
3,3,79,73,5,4,5,1,5,10,1
4,0,91,50,7,4,2,9,10,3,0
4,3,90,61,10,6,4,4,8,9,1
7,0,81,57,7,6,0,7,3,3,1
2,3,87,68,10,7,5,2,3,8,1
6,2,44,58,8,5,2,10,5,8,1
0,1,91,77,8,4,4,1,9,3,0
0,2,80,63,2,6,2,7,5,3,0
2,0,47,76,9,4,2,6,1,10,0
2,2,50,67,4,4,4,3,5,5,0
7,1,55,91,1,5,2,10,9,8,1
7,2,78,90,1,4,1,4,7,6,1
2,0,86,55,5,5,5,1,9,5,0
3,0,63,82,7,5,0,7,10,5,1
7,2,60,86,5,4,5,9,10,6,1
5,1,91,91,3,4,1,1,5,8,1
7,2,62,74,7,6,1,2,3,6,1
0,1,88,62,1,4,4,2,2,7,0
7,3,77,72,1,4,4,6,9,9,1
3,1,86,85,2,4,4,5,5,7,0
2,3,47,82,1,6,2,6,1,9,1
0,2,46,70,9,5,2,1,2,10,1
7,1,41,83,4,6,0,6,2,1,1
3,3,69,85,7,4,2,6,4,3,1
5,3,52,66,5,8,0,7,6,6,1
7,3,62,59,7,4,1,2,8,3,1
3,0,68,72,7,6,0,6,3,2,0
5,2,77,93,1,6,0,9,10,5,1
2,3,76,51,1,7,4,9,10,1,0
7,1,59,84,3,8,2,2,6,5,1
5,3,72,63,10,6,3,5,4,8,1
0,0,68,96,2,5,3,7,8,9,0
2,2,89,94,7,4,4,5,9,10,1
0,0,54,90,3,5,5,3,9,6,0
4,0,62,51,7,6,5,1,6,4,0
1,0,81,68,9,6,5,7,2,3,0
7,1,42,65,1,5,1,8,2,8,0
5,2,76,92,3,5,1,6,10,2,1
1,2,95,93,6,7,1,7,9,8,1
1,1,68,74,9,4,0,9,5,7,1
5,2,84,50,5,5,2,2,7,2,1
2,0,47,51,3,4,1,5,6,2,0
7,2,61,97,8,8,3,3,9,2,1
4,1,92,76,5,6,0,2,5,1,1
0,0,68,51,6,5,1,3,8,7,0
3,1,41,79,2,8,1,4,4,8,1
0,3,80,100,4,6,5,2,7,7,1
3,0,88,59,1,7,5,2,9,4,0
0,0,98,68,4,6,2,8,2,9,0
5,2,89,91,1,5,2,3,9,2,1
4,0,84,65,4,8,0,3,8,5,1
7,1,40,62,2,8,3,4,10,2,1
3,2,83,97,6,8,4,5,1,3,1
7,3,59,99,6,6,5,3,10,2,1
7,1,91,57,8,4,3,6,7,8,1
7,3,60,99,9,4,5,10,5,10,1
6,3,76,80,8,6,2,3,5,6,1
2,3,47,94,1,5,2,8,7,5,0
0,0,66,74,3,6,4,4,10,5,0
7,1,86,88,6,4,3,5,4,9,1
0,1,98,70,1,6,3,3,1,2,0
7,0,74,99,8,8,4,5,6,1,1
3,2,45,87,6,5,2,7,1,6,0
2,3,99,90,1,5,0,3,1,8,1
2,1,84,78,10,7,3,3,8,8,1
5,0,83,55,2,6,1,1,4,6,1
6,3,58,67,6,8,3,2,5,3,1
5,2,57,98,10,6,3,4,10,3,1
5,2,95,93,8,7,3,9,10,2,1
5,3,40,84,5,7,2,3,1,2,1
5,2,64,76,1,6,1,10,10,2,1
5,1,66,54,10,6,3,5,7,7,1
4,1,46,56,2,6,0,9,2,10,0
2,1,83,59,4,4,5,4,6,9,0
5,2,81,59,4,7,5,4,9,10,1
7,1,68,100,7,5,1,6,2,7,1
2,0,70,77,2,4,4,7,6,8,0
2,1,83,85,7,8,0,6,5,5,1
1,1,82,59,7,5,4,4,2,2,0
4,2,75,99,7,5,3,7,9,8,1
5,1,58,84,3,5,2,10,2,5,0
0,3,45,84,6,7,3,3,1,9,1
3,0,64,86,6,8,3,3,9,6,1
6,2,70,97,4,4,4,7,9,7,1
7,0,48,69,1,8,3,6,9,1,0
0,3,59,62,9,4,0,2,8,8,1
4,2,49,60,2,7,2,1,4,7,1
3,2,76,94,9,8,4,6,9,7,1
4,1,66,68,8,5,1,9,2,7,1
7,0,52,77,1,8,5,3,1,7,0
2,3,80,87,7,7,3,9,10,1,1
3,3,41,94,10,7,5,6,7,9,1
2,2,89,53,3,7,4,4,6,7,1
7,1,60,86,10,4,5,10,3,7,1
0,2,72,68,10,8,3,10,2,1,0
7,2,63,86,9,5,3,10,8,6,1
0,2,92,63,5,5,4,2,4,10,0
3,2,83,80,3,6,0,9,6,8,1
3,3,81,77,8,7,1,5,4,5,1
5,3,73,85,3,5,3,5,9,1,1
4,2,99,93,7,7,0,2,5,5,1
5,2,48,87,7,5,3,5,6,2,1
4,1,41,68,7,8,3,6,9,2,1
5,2,94,91,1,6,0,2,6,4,1
2,3,95,50,5,7,3,1,2,4,1
3,0,69,72,1,4,1,6,1,10,0
0,3,61,77,7,4,5,9,9,7,0
4,1,85,97,8,5,4,9,2,9,1
7,3,50,53,7,8,5,9,2,2,1
4,0,94,90,1,7,0,5,4,8,1
0,2,82,67,3,6,5,10,10,8,0
5,0,56,98,10,8,2,1,10,8,1
4,2,75,96,3,5,3,3,3,9,1
6,2,52,100,7,8,4,8,7,9,1
2,3,46,88,4,6,1,9,7,10,1
3,3,55,74,3,8,1,4,3,7,1
0,3,72,67,6,7,2,3,3,5,1
3,1,84,55,10,5,5,2,9,7,1
6,3,40,68,6,6,1,5,7,7,1
4,1,50,61,10,5,5,2,3,10,1
4,3,45,74,5,7,4,9,3,10,1
7,2,59,84,6,6,2,10,3,7,1
6,1,74,50,3,6,5,9,9,8,1
0,0,83,54,10,5,0,3,8,2,0
7,1,76,50,5,8,5,4,7,4,1
2,1,80,57,9,8,5,9,8,9,1
7,0,65,88,4,4,2,1,1,4,1
1,1,97,96,2,4,0,7,9,2,0
0,2,51,92,5,6,1,2,5,7,1
1,3,69,67,3,5,4,9,5,6,0
6,0,67,95,3,6,5,3,5,4,0
5,3,66,58,4,5,3,6,9,8,1
1,2,81,54,4,7,2,5,5,6,1
2,0,58,53,5,4,1,2,2,8,0
7,3,44,93,7,6,5,9,6,4,1
5,3,97,78,4,7,4,3,7,2,1
7,2,44,50,7,8,3,6,7,6,1
1,3,80,79,9,4,2,9,7,9,1
7,2,66,94,3,5,4,8,2,9,1
6,1,67,50,5,8,1,10,6,9,1
5,2,65,52,4,8,5,5,9,3,1
6,1,66,71,9,7,5,6,1,3,1
1,0,91,57,5,6,5,3,3,10,0
6,3,88,67,10,6,2,5,6,3,1
2,2,81,74,2,7,5,6,7,5,0
1,2,60,97,10,8,2,3,2,5,1
1,3,40,69,1,4,5,10,10,5,0
1,3,93,80,7,8,0,2,8,8,1
0,0,67,79,1,7,5,10,6,10,0
7,0,87,65,8,8,0,9,9,8,1
0,2,97,51,9,8,2,7,9,8,1
0,0,97,66,7,8,4,4,9,9,1
2,1,54,59,9,8,1,3,9,10,1
5,0,94,56,10,4,3,4,2,6,1
7,0,56,91,6,5,0,9,10,2,1
6,2,65,100,7,5,1,9,10,9,1
4,1,59,58,3,6,5,6,7,6,0
1,0,64,66,9,5,2,9,5,1,0
6,1,52,58,3,5,1,9,9,5,1
1,1,72,58,6,5,1,6,1,7,0
2,1,64,86,4,8,5,5,10,1,0
1,3,47,73,9,8,1,3,7,7,1
0,3,44,88,1,4,2,1,10,5,1
7,3,45,60,9,8,0,4,5,5,1
4,3,62,57,4,8,3,1,9,2,1
3,2,91,74,10,5,4,1,7,4,1
1,0,69,95,5,4,0,6,4,9,0
6,3,53,51,1,4,3,5,8,2,1
0,2,93,59,1,5,2,7,9,9,0
3,0,62,73,6,5,3,1,9,8,1
4,3,50,97,10,4,2,1,10,4,1
3,0,70,65,1,7,3,8,4,2,0
0,3,45,68,2,5,0,6,6,6,0
7,2,50,80,3,5,5,8,4,7,0
7,1,52,60,7,4,5,6,1,2,0
5,1,51,55,2,7,5,6,6,8,0
7,0,93,55,5,7,2,10,8,9,1
5,2,41,81,9,6,1,7,6,5,1
3,1,92,88,10,7,5,2,3,6,1
2,3,74,97,8,5,2,3,8,6,1
6,1,94,62,8,8,2,4,10,10,1
6,0,75,52,2,4,3,1,9,2,0
3,0,56,90,1,5,2,9,1,1,0
1,2,67,84,9,4,3,9,6,5,0
1,0,67,87,10,7,0,4,10,6,1
7,1,61,66,4,4,2,1,8,1,1
6,1,77,52,9,5,1,1,2,8,1
6,1,46,83,7,8,1,6,4,5,1
5,1,54,61,6,5,0,2,1,5,1
2,2,71,73,10,6,5,1,4,8,1
0,3,50,55,9,4,1,10,2,8,0
1,3,63,91,10,5,3,2,3,9,1
6,2,42,60,4,7,2,7,4,4,1
5,0,69,97,1,7,4,4,3,3,0
4,3,45,76,5,5,2,7,6,10,1
5,0,97,97,6,6,2,7,7,2,1
1,3,41,73,6,4,4,4,7,1,0
1,0,53,67,1,6,5,2,1,10,0
5,2,80,76,7,8,1,9,5,5,1
0,1,57,90,8,5,1,10,3,6,0
3,0,90,70,5,6,2,10,1,8,0
1,1,83,100,2,8,1,3,1,6,0
5,0,70,83,2,6,3,1,2,2,0
6,0,52,82,5,8,3,8,10,8,1
5,0,65,97,7,7,4,4,8,5,1
2,0,83,67,7,7,2,9,4,3,0
3,0,51,52,4,5,5,8,10,6,0
4,1,57,73,3,6,3,7,3,6,0
0,0,48,50,9,7,0,9,8,3,0
7,1,88,55,7,4,1,2,2,7,1
4,2,60,68,2,7,5,4,9,7,1
3,3,87,71,1,7,2,5,4,7,1
3,0,88,100,2,6,3,5,9,8,1
3,3,92,92,3,8,4,1,1,7,1
4,1,95,57,5,4,3,9,5,4,0
6,2,79,54,3,4,0,9,10,5,1
3,2,82,58,10,8,3,5,7,4,1
5,2,63,96,9,6,2,10,4,2,1
4,3,73,70,10,7,4,3,5,7,1
7,1,47,77,4,8,4,8,9,3,1
3,0,83,95,7,4,0,7,6,1,0
5,0,92,53,4,4,2,5,6,1,0
6,1,72,73,3,7,0,1,2,9,1
2,3,62,57,10,7,0,7,1,3,1
6,0,52,66,1,5,0,1,4,7,1
7,1,93,83,9,8,3,1,10,9,1
3,0,92,69,1,7,1,9,3,7,0
7,2,88,65,1,5,3,6,7,8,1
4,0,53,59,1,6,2,7,7,6,0
1,3,53,83,5,4,5,2,6,3,0
3,1,55,92,7,8,0,8,5,1,1
1,3,88,59,7,6,0,7,3,10,1
5,1,77,79,10,8,1,5,4,8,1
2,2,97,79,1,8,4,8,5,6,0
0,1,99,100,6,7,0,2,4,2,1
7,0,78,74,9,5,3,6,3,10,1
6,0,65,95,6,8,0,4,2,8,1
2,2,65,92,4,6,2,7,5,4,1
3,1,40,90,10,8,1,6,2,10,1
1,2,71,56,9,5,5,6,2,9,0
6,0,96,96,3,4,4,5,2,9,0
1,3,54,69,10,8,5,5,2,9,1
4,2,91,66,4,6,2,2,8,4,1
1,3,60,52,4,4,3,7,7,6,0
4,3,57,96,4,4,5,7,9,4,1
5,1,69,95,6,7,2,8,3,10,1
6,2,99,89,7,7,5,4,1,10,1
6,3,97,85,9,8,0,9,6,5,1
