age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
,"management","married","tertiary",1,2143,0,1,"unknown",5,"may",261,1,-1,0,"unknown",0
,"technician","single","secondary",1,29,0,1,"unknown",5,"may",151,1,-1,0,"unknown",1
,"entrepreneur","married","secondary",1,2,0,0,"unknown",5,"may",76,1,-1,0,"unknown",1
,"blue-collar","married","unknown",1,1506,0,1,"unknown",5,"may",92,1,-1,0,"unknown",1
33,"unknown","single","unknown",1,1,1,1,"unknown",5,"may",198,1,-1,0,"unknown",1
,,"married","tertiary",1,231,0,1,"unknown",5,"may",139,1,-1,0,"unknown",1
28,,"single","tertiary",1,447,0,0,"unknown",5,"may",217,1,-1,0,"unknown",1
42,,"divorced","tertiary",0,2,0,1,"unknown",5,"may",380,1,-1,0,"unknown",1
58,"retired","married","primary",1,121,0,1,"unknown",5,"may",50,1,-1,0,"unknown",1
43,"technician","single","secondary",1,593,0,1,"unknown",5,"may",55,1,-1,0,"unknown",1
41,,,"secondary",1,270,0,1,"unknown",5,"may",222,1,-1,0,"unknown",1
29,,,"secondary",1,390,0,1,"unknown",5,"may",137,1,-1,0,"unknown",1
53,"technician",,"secondary",1,6,0,1,"unknown",5,"may",517,1,-1,0,"unknown",1
58,"technician",,"unknown",1,71,0,1,"unknown",5,"may",71,1,-1,0,"unknown",1
57,"services",,"secondary",1,162,0,1,"unknown",5,"may",174,1,-1,0,"unknown",1
51,"retired",,,,,0,1,"unknown",5,"may",353,1,-1,0,"unknown",1
45,"admin.","single",,,,0,1,"unknown",5,"may",98,1,-1,0,"unknown",1
57,"blue-collar","married",,,,0,1,"unknown",5,"may",38,1,-1,0,"unknown",1
60,"retired","married",,,,,,,,,,,,,,0
33,"services","married",,,,,1,"unknown",5,"may",54,1,-1,0,"unknown",1
28,"blue-collar","married","secondary",1,723,0,0,"unknown",5,"may",262,1,-1,0,"unknown",1
56,"management","married","tertiary",1,779,0,1,"unknown",5,"may",164,1,-1,0,"unknown",1
32,"blue-collar","single","primary",1,23,0,0,"unknown",5,"may",160,1,-1,0,"unknown",1
25,"services","married","secondary",1,50,0,1,"unknown",5,"may",342,1,-1,0,"unknown",1
40,"retired","married","primary",1,0,0,0,"unknown",5,"may",181,1,-1,0,"unknown",1
44,"admin.","married","secondary",1,-372,0,1,"unknown",5,"may",172,1,-1,0,"unknown",1
39,"management","single","tertiary",1,255,0,1,"unknown",5,"may",296,1,-1,0,"unknown",1
52,"entrepreneur","married","secondary",1,113,0,0,"unknown",5,"may",127,1,-1,0,"unknown",1
46,"management","single","secondary",1,-246,0,1,"unknown",5,"may",255,2,-1,0,"unknown",1
36,"technician","single","secondary",1,265,0,0,"unknown",5,"may",348,1,-1,0,"unknown",1
57,"technician","married","secondary",1,839,1,0,"unknown",5,"may",225,1,-1,0,"unknown",1
49,"management","married","tertiary",1,378,0,1,"unknown",5,"may",230,1,-1,0,"unknown",1
60,"admin.","married","secondary",1,39,0,0,"unknown",5,"may",208,1,-1,0,"unknown",1
59,"blue-collar","married","secondary",1,0,0,1,"unknown",5,"may",226,1,-1,0,"unknown",1
51,"management","married","tertiary",1,10635,0,1,"unknown",5,"may",336,1,-1,0,"unknown",1
57,"technician","divorced","secondary",1,63,0,1,"unknown",5,"may",242,1,-1,0,"unknown",1
25,"blue-collar","married","secondary",1,-7,0,1,"unknown",5,"may",365,1,-1,0,"unknown",1
53,"technician","married","secondary",1,-3,1,1,"unknown",5,"may",1666,1,-1,0,"unknown",1
36,"admin.","divorced","secondary",1,506,0,1,"unknown",5,"may",577,1,-1,0,"unknown",1
37,"admin.","single","secondary",1,0,0,1,"unknown",5,"may",137,1,-1,0,"unknown",1
44,"services","divorced","secondary",1,2586,0,1,"unknown",5,"may",160,1,-1,0,"unknown",1
50,"management","married","secondary",1,49,0,1,"unknown",5,"may",180,2,-1,0,"unknown",1
60,"blue-collar","married","unknown",1,104,0,1,"unknown",5,"may",22,1,-1,0,"unknown",1
54,"retired","married","secondary",1,529,0,1,"unknown",5,"may",1492,1,-1,0,"unknown",1
58,"retired","married","unknown",1,96,0,1,"unknown",5,"may",616,1,-1,0,"unknown",1
36,"admin.","single","primary",1,-171,0,1,"unknown",5,"may",242,1,-1,0,"unknown",1
58,"self-employed","married","tertiary",1,-364,0,1,"unknown",5,"may",355,1,-1,0,"unknown",1
44,"technician","married","secondary",1,0,0,1,"unknown",5,"may",225,2,-1,0,"unknown",1
55,"technician","divorced","secondary",1,0,1,1,"unknown",5,"may",160,1,-1,0,"unknown",1
29,"management","single","tertiary",1,0,0,1,"unknown",5,"may",363,1,-1,0,"unknown",1
54,"blue-collar","married","secondary",1,1291,0,1,"unknown",5,"may",266,1,-1,0,"unknown",1
48,"management","divorced","tertiary",1,-244,0,1,"unknown",5,"may",253,1,-1,0,"unknown",1
32,"management","married","tertiary",1,0,0,1,"unknown",5,"may",179,1,-1,0,"unknown",1
42,"admin.","single","secondary",1,-76,0,1,"unknown",5,"may",787,1,-1,0,"unknown",1
24,"technician","single","secondary",1,-103,0,0,"unknown",5,"may",145,1,-1,0,"unknown",1
38,"entrepreneur","single","tertiary",1,243,1,0,"unknown",5,"may",174,1,-1,0,"unknown",1
38,"management","single","tertiary",1,424,0,1,"unknown",5,"may",104,1,-1,0,"unknown",1
